Index,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
HSI,2021-04-15,28872.82031,28884.57031,28530.99023,28793.14063,28793.14063,1901863000.0,3743.1082819
HSI,2021-04-16,28827.16992,29079.17969,28711.10938,28969.71094,28969.71094,2192409800.0,3766.0624222
HSI,2021-04-19,28960.13086,29319.75977,28806.75977,29106.15039,29106.15039,2020128300.0,3783.7995507
HSI,2021-04-20,28962.80078,29220.18945,28885.55078,29135.73047,29135.73047,2014210500.0,3787.6449611
HSI,2021-04-21,28702.26953,28778.35938,28506.75977,28621.91992,28621.91992,2202031500.0,3720.8495896
HSI,2021-04-22,28716.98047,28848.01953,28597.0,28755.33984,28755.33984,1934891300.0,3738.1941792
HSI,2021-04-23,28798.44922,29078.75,28748.57031,29078.75,29078.75,1901002000.0,3780.2375
HSI,2021-04-26,29106.44922,29238.99023,28908.65039,28952.83008,28952.83008,1786353600.0,3763.8679104
HSI,2021-04-27,28895.38086,29045.10938,28793.2207,28941.53906,28941.53906,1834872800.0,3762.4000778
HSI,2021-04-28,28991.93945,29071.33984,28887.33008,29071.33984,29071.33984,2074074300.0,3779.2741792
HSI,2021-04-29,29268.21094,29405.11914,29162.86914,29303.25977,29303.25977,1838135800.0,3809.4237701
HSI,2021-04-30,29143.42969,29154.75,28701.68945,28724.88086,28724.88086,2577584300.0,3734.2345118
HSI,2021-05-03,28659.91016,28684.83008,28256.0293,28357.53906,28357.53906,1725985500.0,3686.4800778
HSI,2021-05-04,28438.15039,28577.51953,28321.33984,28557.14063,28557.14063,1921124800.0,3712.428281900001
HSI,2021-05-05,28427.66992,28677.35938,28325.96094,28417.98047,28417.98047,1720837700.0,3694.3374611
HSI,2021-05-06,28647.9707,28753.9707,28384.11914,28637.46094,28637.46094,2478819000.0,3722.8699222
HSI,2021-05-07,28721.13086,28884.0293,28530.71094,28610.65039,28610.65039,2205337100.0,3719.3845507
HSI,2021-05-10,28776.99023,28842.10938,28453.14063,28595.66016,28595.66016,2358822100.0,3717.4358208
HSI,2021-05-11,28286.56055,28286.56055,27910.71094,28013.81055,28013.81055,2383355200.0,3641.7953715
HSI,2021-05-12,28073.91992,28231.03906,27897.4707,28231.03906,28231.03906,2132315300.0,3670.0350778
HSI,2021-05-13,27920.00977,28060.92969,27718.66992,27718.66992,27718.66992,2167381500.0,3603.4270896
HSI,2021-05-14,27872.68945,28064.00977,27715.88086,28027.57031,28027.57031,1880805200.0,3643.5841403
HSI,2021-05-17,28130.50977,28268.39063,28074.14063,28194.08984,28194.08984,1857027900.0,3665.2316792
HSI,2021-05-18,28438.0293,28617.33984,28438.0293,28593.81055,28593.81055,2065990000.0,3717.1953715
HSI,2021-05-20,28413.49023,28508.24023,28293.23047,28450.28906,28450.28906,2465835400.0,3698.5375778
HSI,2021-05-21,28584.33984,28584.33984,28286.91992,28458.43945,28458.43945,1653241900.0,3699.597128500001
HSI,2021-05-24,28417.99023,28444.35938,28195.51953,28412.25977,28412.25977,1719640600.0,3693.5937701
HSI,2021-05-25,28461.5,28929.24023,28461.5,28910.85938,28910.85938,2352077900.0,3758.411719400001
